ID,Is_Lead
VBENBARO,0.033920143
CCMEWNKY,0.25230846
VK3KGA9M,0.061572734
TT8RPZVC,0.028236829
SHQZEYTZ,0.029884862
MZZAQMPT,0.27382478
Y88TW36I,0.12204178
3UGOAQNU,0.06360836
VVUKMUJT,0.99315006
9R363ZXS,0.10455259
BLISM6JE,0.092035316
CH8S7JK7,0.22475033
EAHDPXEJ,0.28023985
BNUK9PRF,0.26750392
GP2PG6FJ,0.077771656
WNQCSN8A,0.044229016
32DN4YVZ,0.39829293
GXAMDANM,0.05979361
MXETLUP4,0.4117074
MPXK6TVE,0.5780263
LBSIME2K,0.3562579
D6ORJTM6,0.031420458
HGDIBAKA,0.4920112
UUZYL9DZ,0.43775737
AUGE3VWK,0.055364456
MX7GOX6Q,0.35604897
TQN6K35W,0.17795157
QQDRMQQN,0.3816857
UP6GC6F4,0.33577275
BMHBUVHB,0.6717168
KGLDW86A,0.33095202
FQEOMOP4,0.10289891
DYWM5MEU,0.20790435
DXHGXV8F,0.09990133
AVFBFQKC,0.16375497
DBIDKYMV,0.43144378
KYZHMEBY,0.21820763
SSFEBUGF,0.061901443
MGJTAG8X,0.4768565
MP6BERDO,0.17675757
GXZ8ED68,0.09001404
ICTFGWQR,0.5724048
EAYHTRKH,0.03564414
6FN97QLQ,0.051979475
3H5MZDDW,0.29781595
2DXZZWSN,0.10997964
MM4QIRE5,0.46883026
HJWVYXUA,0.1525151
RBRSJUP3,0.14491564
YFRQKGXW,0.4878175
N3SADEBV,0.20129602
G2A2YYXY,0.03769366
XMGA3WT3,0.27000493
KVZQPSGI,0.362872
UAKARBBG,0.06926153
WYKKL85Z,0.17906657
GHNYYGRR,0.111728214
UBAJANWT,0.084725365
LSARSF7U,0.031688828
4CNSJVVR,0.3001712
JRHJSWYO,0.359543
FHZ8SVVI,0.1722661
JUIRE47M,0.12420562
GDIVN2GL,0.1411193
WMF3DYE3,0.60491997
MAQEHEWK,0.14593516
2W8DLKFU,0.08388802
AKGRML6H,0.1095043
B7WUUGCY,0.092643276
TLJOYATM,0.44224614
UH6ZDM3W,0.13160628
7IP5SSRR,0.8095025
PV85PMEB,0.51775473
FGDOY4NI,0.12314767
7YYIXJQE,0.2236545
BHW42XPW,0.18216954
3PKEEAT4,0.33245522
ACFPZ3LM,0.0569738
6GORGNYN,0.30748722
AEPQTMJK,0.3012117
S6FNZFKK,0.05070197
JTYNEKRQ,0.7838535
GPXDPHHC,0.12403466
O8TMKNNB,0.17039706
XSQVHKYG,0.05636217
MJ3CZRAE,0.02292222
3NSQEYBJ,0.5170202
SXVBASGH,0.036908466
5ZIGZYSS,0.0634244
FQSHBCUT,0.32318178
MU45XUBP,0.11645221
BVULDPBI,0.13479654
82GRNPFG,0.11374143
KKBNELBF,0.07116628
HXQGBDGY,0.060151543
28HDZICG,0.5746998
GHBPKPJC,0.06353578
FDWZFSSC,0.16508389
FWTIWZF3,0.111118175
JYMHVPMY,0.18812758
AHUDO2T6,0.3105798
ACDHABS3,0.44388434
5NTYJJDV,0.20267318
2M4VPY4V,0.2749377
KAHP9XLF,0.25271374
YRLEWZFQ,0.24731508
JZWVLXHJ,0.21132393
JZZSXUKT,0.28364286
93RURE2J,0.46030867
4RNB6FDV,0.6527265
27E7HMMG,0.07236608
2QEFQQWN,0.13277875
DDTCD2XI,0.31743306
VGVEYSEG,0.38364518
WCXVE7RK,0.19244266
RTN4R3UE,0.04983442
K2PVS4RB,0.060779974
Q36J686Z,0.24819848
NWKHMEOF,0.42469123
PVJYQQGT,0.35565022
GPUMRNWC,0.068208106
LXHCDSVH,0.4565549
BNIUPSVK,0.42870677
FW3QI3WW,0.23593031
IEEUGXMY,0.12677684
FVVXDLBO,0.08637095
UC2JJB6Y,0.18683416
3WPAHP52,0.39672157
HDTCJJOE,0.580987
UCSB9GKK,0.25091133
HANBFYTH,0.09756407
FLUU2HNV,0.06780609
64PIYWDJ,0.1624709
9AHNH8ZX,0.33579427
KLHUI2SE,0.40366444
YRHYUJFW,0.5290154
G5RWWH7F,0.16044304
SCBT9BAX,0.013201069
UGZGLVNB,0.25979832
2RRNUFBV,0.5081231
B6O59TEY,0.46617746
CYHRRYH6,0.07848773
GGYZVHWU,0.23868969
K6AM97RN,0.2835775
ATM5JQYM,0.24724129
7GYZSGWA,0.05567187
DFWUDQCR,0.32415795
E2Z98CR3,0.23166241
GD9KTSLY,0.059406564
2AMRA4OD,0.062229868
CFHZ3ZE6,0.51816845
BOMLVM5K,0.07152201
OBBEGBSY,0.45853144
FJEHOK8W,0.05958892
3GMAEVPJ,0.086357184
WAVDLUTH,0.14059456
6EN8GZX6,0.2943669
VXGA3GKB,0.44051206
U4MZ3U8C,0.4534763
GU4RDP8S,0.29743087
N3TPNHCD,0.12087422
JRRHWQC8,0.52756464
NZ5GBHZK,0.13500077
LCUC2LAJ,0.34128723
DJDSU9D2,0.96516246
647K6DBR,0.09887597
7NFXVESK,0.36849043
EWUWF25N,0.09743028
7QKYPLA8,0.27626243
XQVXWBNO,0.07364102
CNWH4MVA,0.087738864
AFJUJFQD,0.27617565
QKMFDX9H,0.43828893
YYMB5QBY,0.1733955
IRY3SEX7,0.2732383
CUAUZJH8,0.37884682
JYFUYQF5,0.25682706
I4NYEDFE,0.49484175
M3RSPRGQ,0.31492585
JIL3KWQN,0.17988229
X4B5ZBWU,0.12612571
AHYTHHSE,0.073571905
E7EHQEQK,0.43043923
FAMHAVN3,0.32410553
CCGKCTR6,0.17608179
6DTSELRV,0.1414379
LU8X3G6O,0.51076174
NPFDAUJY,0.06806694
DR9PXCFU,0.018316297
SHVZMWBV,0.29968297
8TGXGZHX,0.4847064
IKRSHJFW,0.36804762
TYKRZDCP,0.45009077
9IDA3L7P,0.26664984
ASOWCMDB,0.17274241
KZ5J2JGC,0.34397653
D5UCFKTV,0.06052607
2N8FFP7W,0.05275478
SA36MTFS,0.052826077
8UDMURUH,0.13107751
7VSQV6QN,0.34343967
IFUG9NC5,0.0701828
EQXDLQRG,0.19710384
JAR8YY9J,0.073061414
BS4TAF6M,0.07861929
WQJ9SPT9,0.11271228
7QHT4ON2,0.10420694
FNGPQN7B,0.2763737
DDOMDZRU,0.784937
QYR9HXHP,0.15242746
S4NGXFXY,0.015291694
NOJ2KSCC,0.4519358
ZD2JRUNB,0.38177955
GZIPTSNN,0.022798179
LCFYUVE9,0.5997428
PPANVU9W,0.06104035
DRPV9STB,0.20196865
AFSPF3WZ,0.99367636
GPXEUNND,0.27325812
NSADMDSM,0.15899925
CKWJU8RQ,0.61623967
F7MNZSSU,0.08708924
BDGVMPZY,0.5898793
IA3MSRTR,0.2974281
JD3WTPMG,0.3512421
QT6DF6EW,0.3494759
NVDEMCZ2,0.21119545
9B6UTJVT,0.18664372
U6QYES9J,0.050540775
DZQPDSPS,0.23706013
CRGXVSBF,0.07699622
XIHJYS2V,0.6948016
7X2MC5GZ,0.33248964
ZBDVXTM5,0.047876105
UUBQPBR5,0.15852265
CUMZFBTD,0.20767656
E7QXYSQN,0.04280675
6UQAJP48,0.47391963
QHWB768Y,0.08237232
R6RXMXOJ,0.20296082
WXQGZG5K,0.033884708
GCUFKLHG,0.097369425
SJX4372M,0.06547877
VGEAMUZZ,0.08400732
ZWDXVKDF,0.20642138
WGMRCYLR,0.08190707
SI43K5CY,0.13026066
DSNBS2RS,0.43156
XIMZCKSR,0.35443273
VEW9FXHT,0.013521085
JZJHDDDJ,0.4056697
4TYUR5HA,0.45947763
UHCDFDRX,0.22738822
E5QMOFUM,0.18954033
PSNVWDZH,0.065273605
5IQSWONG,0.26118883
CEAZEPY4,0.9957419
2TNRJXRX,0.038496494
BFROCARA,0.049227647
GRTJMRKM,0.010456314
6EDAM4EU,0.23880701
NRDB58KL,0.08316827
TCPJCWZR,0.055299904
KG8LD2BE,0.041867968
FHZ3XFDV,0.26251695
NZKCSDZ4,0.565005
6DG6KJG4,0.071324214
BVPKDUNU,0.16413878
APR4PQ6X,0.054596692
HPWS8YFG,0.13800922
VRPBGTPU,0.18335916
XBCSX7G7,0.034817647
KEH3G8UA,0.42137036
WXNAVFLT,0.04813157
8J8NJ7M6,0.10361052
D4UW7Y85,0.07249961
SZRESXN7,0.07736556
UUQSXK5T,0.11110078
GPMUKOVY,0.20254491
6FYOKAZ5,0.08713166
ENUB4N9S,0.41127467
KERBCSGE,0.9981741
7HTA4C6J,0.42814726
4BTVMT6W,0.07002316
MR3J9USD,0.44483733
7S83FNQW,0.66748935
MSOKLC7S,0.034702096
GFMNATHU,0.06268961
NG4ABA6H,0.9879411
3GFHRAQY,0.28698245
BCSGZZPE,0.43984464
PQ9MCGZC,0.3335272
K7N596CG,0.13470657
8RUL6JEE,0.12386407
CVOFJRMP,0.22715941
B4FQX4HG,0.061326317
